llave,nombre_ins,creacion00,direg15,cdpr15,cdcan15,cddis15,regplan15,zona15,mit_15,mih_15,rt_15,rh_15,aprobt_15,aprobh_15,reprot_15,reproh_15,desa_15,desah_15,desert_15,deserh_15,act_15,ach_15,nst_15,nsh_15,sit_15,sih_15,embt_15,embmenor_15,embmayor_15,aat15,aab15,apt15,apb15,aest15,aesb15,aaet15,aaeb15,anat15,anab15,inft15,infb15,olat15,olab15,salt15,salb15,comt15,comb15,bibt15,bibb15,gimt15,gimb15,talt_ai15,talb_ai15,otalt15,otalb15,sodt15,sodb15,indt15,indb15,lavt15,lavb15,sant15,sanb15,tvt15,tvb15,vbt15,vbb15,dvdt15,dvdb15,cetoi15,cetos15,cepei15,cepes15,cepai15,cepas15,ceadi15,ceads15,cptoi15,cptos15,cppei15,cppes15,cppai15,cppas15,cpadi15,cpads15,bib15,sal15,pla15,aux15,serv_int15,expto_15,expdef_15,exptem_15,agrve_15,agrvep_15,agrveo_15,agrfe_15,agrfep_15,agrfeo_15,agree_15,agreep_15,agreeo_15,agrre_15,agrrep_15,agrreo_15,agrde_15,agrdep_15,agrdeo_15,agroe_15,agroep_15,agroeo_15,int_15,inht_15,rit_15,rih_15,frt_15,frh_15,itt_15,ith_15,extrant_15,extranh_15
6976,SAN ANTONIO,1995,21,4,410,41004,6,2,18,9,0,0,17,8,0,0,0,0,1,1,7,4,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,0,0,0,0,0,0,8,5
6978,CORAZON DE JESUS,1994,8,5,504,50401,2,1,127,62,3,2,124,63,6,3,1,1,-3,-4,0,0,22,12,21,12,0,0,0,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,4,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,62,0,0,0,0,0,0,1,1
6980,LA INMACULADA,1994,13,6,611,61101,3,1,118,68,0,0,123,70,3,2,0,0,-8,-4,1,0,2,2,1,0,0,0,0,7,7,4,4,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,2,2,2,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,68,0,0,0,0,0,0,3,2
6982,EURO-AMERICANA,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6984,BOCA GUARUMAL,1992,22,6,605,60501,4,1,6,4,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6986,BARRIO EL CARMEN,1995,4,2,206,20601,1,1,78,35,2,0,77,32,6,4,0,0,-5,-1,3,2,22,8,1,0,0,0,0,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,1,1,1,0,0,2,2,1,1,2,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,35,0,0,0,0,0,0,0,0
6988,SAN ANTONIO DE PADUA,1993,1,1,118,11801,1,1,70,44,0,0,71,47,0,0,0,0,-1,-3,0,0,17,16,0,0,0,0,0,9,9,0,0,0,0,0,0,2,2,1,1,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1,1,1,1,1,1,27,0,20,0,4,0,3,0,5,0,0,0,3,0,2,0,99,99,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,44,0,0,0,0,0,0,2,2
6990,FINCA LA CAJA,1994,25,1,101,10107,1,1,1380,679,68,46,1256,598,111,67,28,20,13,14,11,6,189,103,50,31,0,0,0,19,19,0,0,1,1,0,0,0,0,2,2,1,1,0,0,2,2,1,1,0,0,0,0,0,0,0,0,18,18,0,0,2,2,1,1,3,3,1,1,52,1,35,0,9,1,8,0,5,2,5,0,0,2,0,0,1,2,1,1,1,3,0,3,7,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,100
6992,JOHN DEWEY,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6994,BETHABA,1989,1,1,118,11801,1,1,40,28,0,0,40,28,0,0,0,0,0,0,6,6,4,3,3,2,0,0,0,6,6,4,4,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,4,4,4,4,1,1,3,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,28,0,0,0,0,0,0,0,0
